Composer,Mass,Movement,Source,Sibelius file,xml file,pdf file,midi file,Corrected .sib file (if needed),Corrected .xml (if needed),Notes
P. de la Rue,Missa Tandernaken,Benedictus,Opera Omnia 1989,https://drive.google.com/open?id=1-VBHXH_e2QGVUn5nAYoVDjUlaWwenOkW,,,,,,Transcribed into original note values
P. de la Rue,Missa Tandernaken,Agnus II,Opera Omnia 1989,https://drive.google.com/open?id=1YZnl8bIEIVhMbXn1VAnniC__Ex_PWzDy,,,,,,Transcribed into original note values
P. de la Rue,Missa Tous les regretz,Agnus II,Opera Omnia 1989,https://drive.google.com/open?id=1aU6WIYL0fTqklN_M-XNcxRlf0kCTW0iF,,,,,,Transcribed into original note values
Josquin Des Pres,Credo de tous biens playne,Et in spiritum,JRP,,,,,,,
Josquin Des Pres,Missa Ave Maris Stella,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa Ave Maris Stella,Qui venit,JRP,,,,,,,
Josquin Des Pres,Missa Ave Maris Stella,Agnus II,JRP,,,,,,,
Josquin Des Pres,Missa de Beata virgine,Agnus II,JRP,,,,,,,
Josquin Des Pres,Missa Gaudeamus,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa Gaudeamus,Qui venit,JRP,,,,,,,
Josquin Des Pres,Missa Gaudeamus,In nomine,JRP,,,,,,,
Josquin Des Pres,Missa Gaudeamus,Agnus II,JRP,,,,,,,
Josquin Des Pres,Missa Hercules dux ferrariae,Pleni,JRP,,,,,,,
Josquin Des Pres,Missa Hercules dux ferrariae,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa Hercules dux ferrariae,Qui venit,JRP,,,,,,,
Josquin Des Pres,Missa Hercules dux ferrariae,In nomine,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme sexti toni,Gloria tua,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme sexti toni,Pleni,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme sexti toni,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme sexti toni,Qui venit,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme sexti toni,In nomine,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme super voces musicales,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme super voces musicales,Qui venit,JRP,,,,,,,
Josquin Des Pres,Missa L'homme arme super voces musicales,In nomine,JRP,,,,,,,
Josquin Des Pres,Missa La sol fa re mi,Agnus II,JRP,,,,,,,
Josquin Des Pres,Missa Malheur me bat,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa Malheur me bat,Qui venit,JRP,,,,,,,
Josquin Des Pres,Missa Malheur me bat,In nomine,JRP,,,,,,,
Josquin Des Pres,Missa Pange Lingua,Pleni,JRP,,,,,,,
Josquin Des Pres,Missa Pange Lingua,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa Pange Lingua,Agnus II,JRP,,,,,,,
Josquin Des Pres,Missa Sine nomine  ,Pleni,JRP,,,,,,,
Josquin Des Pres,Missa Sine nomine,Benedictus,JRP,,,,,,,
Josquin Des Pres,Missa Sine nomine,Qui venit,JRP,,,,,,,
Josquin Des Pres,Missa Sine nomine,In nomine,JRP,,,,,,,
Josquin Des Pres,Missa Sine nomine,Agnus II,JRP,,,,,,,
Josquin Des Pres (not secure),Credo vilayge I,Et in spiritum,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Ad fugam,Pleni,JRP,,,,,,,Version 2
Josquin Des Pres (not secure),Missa Ad fugam,Benedictus,JRP,,,,,,,Version 2
Josquin Des Pres (not secure),Missa Ad fugam,Qui venit,JRP,,,,,,,Version 2
Josquin Des Pres (not secure),Missa Allez regretz I,Pleni,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Da pacem,Crucifixus,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Da pacem,Et resurrexit,JRP,,,,,,,
Josquin Des Pres (not secure),Missa di dadi,Domine fili,JRP,,,,,,,
Josquin Des Pres (not secure),Missa di dadi,Benedictus,JRP,,,,,,,
Josquin Des Pres (not secure),Missa di dadi,Agnus II,JRP,,,,,,,
Josquin Des Pres (not secure),Missa L'ami baudichon,Gloria - Qui tollis,JRP,,,,,,,
Josquin Des Pres (not secure),Missa L'ami baudichon,Et incarnatus est,JRP,,,,,,,
Josquin Des Pres (not secure),Missa L'ami baudichon,Crucifixus,JRP,,,,,,,
Josquin Des Pres (not secure),Missa L'ami baudichon,Pleni,JRP,,,,,,,
Josquin Des Pres (not secure),Missa L'ami baudichon,Benedictus,JRP,,,,,,,
Josquin Des Pres (not secure),Missa L'ami baudichon,Qui venit,JRP,,,,,,,
Josquin Des Pres (not secure),Missa L'ami baudichon,In nomine,JRP,,,,,,,
