A cappella ...
Kagurabue
Kam nche
Kamele ngoni
Kañjir
Kankl s
Kannel
Kantele (Musical instrument)
Kaval
Kayag m
Kazoo
Kei
Kemanak
Keyboard controller (Musical instrument)
Keyboard instruments
Keyed bugle
Keyed fiddle
Keyed trumpet
Khim
Khlui
Kh ng wong
Khruang sai
Kimball organ
Kl ng
Kl ng y o
K auau
Kob (Musical instrument)
Kobza
Kokle
Kol (Musical instrument)
Kolintang (Xylophone)
Kolintang (Xylophone ensemble)
K mun’go
Komuz
Kong hou
Kopuz
Kora (Musical instrument)
Korg 01/W keyboard synthesizer
Korg DDD­1 drum machine
Korg DDD­5 drum machine
Korg M1 synthesizer
Koto
Kotsuzumi
Kuan
Kulintang
Kurai
Lambeg drum
Langeleik
Launeddas
Leaves
Lichtton­Orgel
Ligawka
Limbe (Musical instrument)
Liquimofono
Lira da braccio
Lira (Short­necked fiddle)
Lirica
Lirone
Lithophone
Liu qin
Lõõtspill
Low voice
Lowrey organ
Lu sheng
Luo gu
Lur
Lute
Luthéal
Lyra (Musical instrument)
Lyra viol
Lyre
Lyre­guitar
M dal
Mah r
Male singers
Mallet controller (Musical instrument)
Mandola
Mandolin
Mandolin orchestras
Mandoloncello
Manualo
Maraca
Marching bands
Marching percussion
Marimba
Marovany (Box zither)
Mbira
Mechanical musical instruments
Mechanical organs
Mechanical pianos
Mechanical singing­bird boxes
Medium voice
Megaphones
Mellotron
Melodeon (Button­key accordion)
Melodica
Melody flute
Melody instruments
Meloharp
Men’s voices
Menzan
Meta­harp
Mey
Mezzo soprano
Mezzo­sopranos
MIDI controllers
Mime
Minshall­Estey organ
Mirliton
Mišnice
Mixed media (Music)
Mixed voices
Mixture stops
Monochord
Morin huur
Mouseketier (Musical instrument)
Mouth bow
Mridanga
Mukhav n
Musette (Oboe)
Music box
Musical bow
Musical clock
Musical instruments
Musical saw
Mutantrumpet
N gasvaram
Native American flute
N y
N ykh m
New Century harp
Ngoma (Drum)
N kan
Noordsche balk
Northumbrian small pipe
Notched rattle
Novachord
Oboe
Oboe da caccia
Oboe d’amore
Ocarina
Oliphant
Ondes Martenot
Ongnyug m
Ophicleide
Orchestra
Orchestrion
Organ (Musical instrument)
Organ pedals
Organette
Orkon
Orpharion
Orphéal
Oud
P‘iri
Panharmonicon
Panpipes
Par (Musical instrument)
Parai
Pardessus de viole
Pedal clavichord
Pedal harpsichord
Pedal piano
Pelittone
Penny whistle
Percussion controller (Musical instrument)
Percussion ensembles
Percussion instruments
Performer
Phin p a
Phonofiddle
P (Musical instrument)
Pi pa
Piano
Piano­harp
Pianocorder
Pianola
Piccolo
Pinkullu
Pipe bands
Pipe (Musical instrument)
P ph t
Pitchpipe
Player organ
Player piano
Plucked instruments
Plung
Plung orchestras
Pochette
Polopalo
Pommer
Positive organ (Musical instrument)
Post horn
Practice chanter
Psalmodikon
Psaltery
Pung (Drum)
Pyrophone
Q n n (Musical instrument)
Qin (Musical instrument)
Qobuz (Fiddle)
Quena
Quinto (Drum)
Rab b
Rabeca
Racket (Musical instrument)
Radio receiver
Ran t k
Ran t thum
Rattle (Musical instrument)
Rebana
Reco­reco (Musical instrument)
Recorder (Musical instrument)
Reed organ
Rgya­gling
Rhythm bands and orchestras
Rickenbacker guitar
Rock groups
Roland drum machine
Roopill
Ruan
Russian horn
Ry teki
Sackbut
Sal
Saluang
Sambuca lincea
Sampler (Musical instrument)
San xian
Sanshin
Sant r
Sáo (Musical instrument)
Sapeh
Sarangi
S rind
Sarod
Sarrusophone
Saùng­gauk
Saxhorn
Saxoflute
Saxophone
Saz
S mantron
Sequencer (Musical instrument)
Serpent (Musical instrument)
Set r (Iranian musical instrument)
Shakuhachi
Shamisen
Shawm
Shehnai
Sheng (Musical instrument)
Shinobue
Sh
Shofar
Shudraga
Signer
Siku
Silvertone organ
Simsim yya
Singing bowl
Sipsi
Sistro
Sistrum
Sitar
Siter
S yotanka (Musical instrument)
Slit drums
Snare drum
S d ang
So na
S s m s i
S
Software sequencers
Solovox
Soprano voice
Sopranos (Singers)
Sordellina
Sousaphone
Speaker
Steel bands (Music)
Steel drum (Musical instrument)
Stella guitar
Sticcado pastorale
Stick zither
Stone drum
Stradivari stringed instruments
Stradivarius violin
Stratocaster
String bands
Stringed instruments
Suif kin
Suling (Musical instrument)
S ng
Suo na
Šupeljka
Surbahar
Surdo
Svirala
Synthesizer (Musical instrument)
Tabla
Tabor
Taeg m
T‘aep‘y ngso
Taiko
Tam­tam
Tambi
Tamboril
Tambou
Tambourin
Tambourine
Tamb r (Drone lute)
Tambura (Fretted lute)
Tambura (Fretted lute) orchestras
Tanb r
Tangent piano
Tanso
Tar (Drum)
Tar (Lute)
Tarka
Tárogató
T sh
Tavil
Technics organ
Telecaster guitar
Television receiver
Telharmonium
Tenor violin
Tenor voice
Tenora (Musical instrument)
Tenors (Singers)
Teponaztli
Theater organ
Theorbo
Theremin
Tibia (Musical instrument)
Timbales criollos
Timpani
Tin can
Tingklik
Tiple (Plucked instrument)
Tom­tom
Tonette
Toy instruments
Toy piano
Trautonium
Treble viol
Tres (Musical instrument)
Triangle (Musical instrument)
Trombone
Trumpet
Trumpet marine
Tuba
Tubaphone
Tube zither
Tubular bells
Tumba (Musical instrument)
Tupan
Túru (Side­blown trumpet)
Tussefløyte
Txalaparta
Uilleann pipe
Ukulele
Unaccompanied
Unison chorus
Unison voices
"Unspecified instrument (Musical medium of
performance)"
Valiha
Vamp­horn
Verrophone
Veuze
Vibraphone
Vicitra vina
Vihuela
Vina
Viola
Viola d’amore
Viola d’arame
Viola da gamba
Viola­de­cocho
Viola pomposa
Violano­virtuoso
Violetta d’amore
Violin
Violo
Violoncello
Violoncello piccolo
Violone
Violotta
Viols
Vocalion
Voice (Musical medium of performance)
Voices (Musical medium of performance)
Washboard bands
Washint
Washtub bass
Waterphone (Musical instrument)
Welte­Mignon reproducing piano
Wind controller (Musical instrument)
Wind instruments
Wind machine (Musical instrument)
Windchimes
Women singers
Women's voices
Woodwind instruments
Wurlitzer electronic organ
Xiao
Xun (Musical instrument)
Xylophone
Xylorimba
Yamaha DX7 synthesizer
Yamaha organ
Yamaha RX­11 drum machine
Yamaha RX­15 drum machine
Yamaha synthesizer
Yamaha WX7 wind controller
Yang qin
Yangg m
Yaogu
Yatga
Yoochin (Dulcimer)
Yue qin
Yuka (Musical instrument)
Zarb
Zheng
Zhong hu
Zhui qin
Zither
Zitho­harp
Zoomoozophone
Zumari
Zune (Digital music player)
Z rn
