4 Voice Motets (1450-1600),Fiat pax in virtute tua,1480-01-01,1520-01-01,Fiat pax in virtute tua,1480-01-01,1520-01-01,Coppini,Alessandro,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Gaude Maria,1460-01-01,1462-01-01,Gaude Maria,1460-01-01,1462-01-01,,Anonymous,,True,Unknown,,,,,,,,,,,,
4 Voice Motets (1450-1600),Gaude virgo decus morum,1460-01-01,1470-01-01,Gaude virgo decus morum,1460-01-01,1470-01-01,,Anonymous,,True,Unknown,,,,,,,,,,,,
4 Voice Motets (1450-1600),"Gaude virgo, mater Christi",1450-01-01,1521-01-01,"Gaude virgo, mater Christi",1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Contratenor,Soprano,Tenor,,,,,,,,,,
4 Voice Motets (1450-1600),Gaudent in coelis animae Sanctorum,1585-01-01,1585-01-01,Gaudent in coelis animae Sanctorum,1585-01-01,1585-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Haec cum dixisset,1516-01-01,1565-01-01,Haec cum dixisset,1516-01-01,1565-01-01,Rore,Cipriano de,Cantilena Motet,True,Bassus,Tenor,,,,,,,,,,,
4 Voice Motets (1450-1600),Hic vir despiciens mundum,1585-01-01,1585-01-01,Hic vir despiciens mundum,1585-01-01,1585-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),"Honor, decus, imperium",1450-01-01,1521-01-01,"Honor, decus, imperium",1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),In domino confido,1450-01-01,1521-01-01,In domino confido,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),In exitu Israel de Egypto,1450-01-01,1521-01-01,In exitu Israel de Egypto,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),In illo tempore: Assumpsit Jesus,1450-01-01,1521-01-01,In illo tempore: Assumpsit Jesus,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),In pace in idipsum,1450-01-01,1521-01-01,In pace in idipsum,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),In principio erat verbum,1450-01-01,1521-01-01,In principio erat verbum,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
