RenComp7_metadata,,,,,,,
File Name,Composer Given Name,Composer Surname,Musical Work Name,Section Name,Genre,Sacred/Secular,Collection Name
Antoine_Busnoys/Bus3064-Armours_fait_moult_tant__Il_est_de_bonne_heure_ne__Tant_que_nostre_argent_dura.mid,Antoine,Busnoys,Armours fait moult tant  Il est de bonne heure ne  Tant que nostre argent dura,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3069-Jay_pris_amours.mid,Antoine,Busnoys,Jay pris amours,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3073-Quant_ce_viendra.mid,Antoine,Busnoys,Quant ce viendra,,Song,Secular,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Agnus_I_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Agnus_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Benedictus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Credo_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Gloria_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Kyrie_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Kyrie_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Kyrie II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_coenam_Agni_Sanctus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad coenam Agni,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_fugam_Agnus_I_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ad fugam,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_fugam_Agnus_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ad fugam,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_fugam_Benedictus_3.mid,Giovanni Pierluigi da,Palestrina,Missa Ad fugam,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_fugam_Credo_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ad fugam,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_fugam_Gloria_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ad fugam,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_fugam_Kyrie_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ad fugam,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ad_fugam_Sanctus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ad fugam,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aeterna_Christi_munera_Agnus_I_4.mid,Giovanni Pierluigi da,Palestrina,Missa Aeterna Christi munera,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aeterna_Christi_munera_Agnus_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Aeterna Christi munera,Agnus II ,Mass,Sacred,RenComp7
